Nama|NPWP|Komite Audit Ketua|Nama Penerima|Komite Audit Anggota 2|Komite Audit Anggota 3|Komite Audit Anggota 4|Komite Audit Anggota 5|Direktur Utama|Direktur 1|Direktur 2|Direktur 3|Direktur 4|Direktur 5|Direktur 6|Direktur 7|Direktur 8|Direktur 9|Direktur 10|Direktur 11|Direktur 12|Direktur 13|Direktur 14|Komisaris Utama|Komisaris 1|Komisaris 2|Komisaris 3|Komisaris 4|Komisaris 5|Komisaris 6|Komisaris 7|Komisaris 8|Komisaris 9|Komisaris 10|Komisaris 11|Komisaris 12|Komisaris 13|Komisaris 14|Corporate Secretary|Established Date|Listing Date|Alamat|Phone|Fax|Homepage|Email|Pemilik Saham 1
PP (Persero) Tbk|010016137093000|Drs. Istiono, M.H.||Dr. Aria Farah Mita, MSM, CPA, CA|Handoko Tripriyono, CPA|Ir. Pundjung Setya Brata, M.M.||Novel Arsyad|Agus Purbianto|Yuyus Juarsa|Yul Ari Pramuraharjo|I Gede Upeksa Negara|Tommy Wiranata Anwar||||||||||Dhony Rahajoe|Ernadhi Sudarmanto|Hedy Rahadian|Pundjung Setya Brata|Jaya Kesuma|Istiono||||||||||Joko Raharjo||2010-02-09|Plaza PP Jl. Letjend. TB Simatupang No.57 Pasar Rebo - Jakarta 13760|021-8403883|021-8403890|www.ptpp.co.id|corsec@ptpp.co.id|PT Biro Klasifikasi Indonesia Persero
PT Pulau Subur Tbk.|016762742306000|Dodi Prawira Amtar||Cynthia Afriani|Vita Diana Satiadhi|||Felix Safei|Budiman Ong||||||||||||||Efendi|Dodi Prawira Amtar||||||||||||||Liawan Kristianto||2023-10-09|Jl A. Yani No.12 ABC RT23 RW023 14 Ulu, Seberang Ulu Dua, Palembang|+62711510760|+62711510761|www.pulausubur.com|corsec@pulausubur.com|PT SEKAWAN KONTRINDO
PT Pratama Widya Tbk.|013100524039000|Jenny Rijanti, SS, MEC.DEV||Hadi Cahyadi, SE|Lia Marsaulina Nainggolan|||Dr. Ir, Andreas Widhatama Kurniawan, ST, M.Sc., IPM.|Dr. Ir. Cyrilus Winatama Kurniawan, ST, B.Eng., M.Eng., IPM||||||||||||||Dr. Ir. Paulus Kurniawan Koesoemowidagdo, MBA|Jenny Trijanti, SS, MEC.DEV||||||||||||||Henny Farida D.S||2020-02-07|Komplek Green Ville Blok AW No. 64-65, Jakarta Barat 11510|021-557 82407/18|021-557 01567|www.pratamawidya.com|corsec@pratamawidya.com|Ir. Paulus Kurniawan Koesoemowidagdo
Petrosea Tbk|010017036091000|Dr. Setia Untung Arimuladi S.H., M.Hum.||Sahat Pardede|M. Oka Lesmana Firdauzi|Madelin A. Hardjapamekas||Michael|Kartika Hendrawan|Ruddy Santoso|Meinar Kusumastuti|Iman Darus Hikhman|||||||||||Osman Sitorus|Prof. Ginandjar Kartasasmita|Djauhar Maulidi S.E., M.B.A.|Erwin Ciputra|Jend. Pol. (Purn.) Drs. Sutanto|Setia Untung Arimuladi S.H., M.Hum||||||||||Anto Broto||1990-05-21|Indy Bintaro Office Park, Gedung B, Jl. Boulevard Bintaro Jaya Blok B7/A6, Sektor VII, CBD Bintaro, Tangerang Selatan, 15224|021-29770999|021-29770988|www.petrosea.com|corporate.secretary@petrosea.com|PT Kreasi Jasa Persada
Sat Nusapersada Tbk|015308075054000|Herry Santoso||Rusdiana|Lily|||Abidin Fan|Bidin Yusuf|Kustina|||||||||||||Smailly Andy|Usman Fan|Herry Santoso|||||||||||||Rina Dewi||2007-11-08|Jl Pelita VI No.99 Batam 29443|0778-5708888|-|http://www.satnusa.com|corporate.secretary@satnusa.com|Abidin Fan
Pioneerindo Gourmet International Tbk|013755848054000|Herlani Sunardi||Teddy Sujana|Endang Sulistyowati|||BOSTOMI SUHARMAN|TEH KIAN KUN||||||||||||||ISKONDA JAPIAR BUDHI|HERLANI SUNARDI||||||||||||||Teh Kian Kun||1994-05-30|Jl. Palmerah Utara No. 100 Jakarta Barat 11480|5366-8999, 5366-2013|5366-2012|www.cfcindonesia.com|k_cendra@pioneerindo.com|Masyarakat Non Warkat
Pudjiadi Prestige Tbk|013180070054000|Octavianus Halim, MBA||Ardika May Fendra|Afika Nur Fadilah Fikri|||Damian Pudjiadi, MBA|Toto Sasetyo DBL||||||||||||||Kosmian Pudjiadi BSISE, MBA|Octavianus Halim, MBA|Ariyo Tejo|||||||||||||Erna Hesriyanti||1994-11-18|Gedung Jayakarta Hotel Lt. 21 Jl. Hayam Wuruk 126 Jakarta, Barat 11180|021 - 6241030|021 - 6240981|www. pudjiadiprestige.co.id|erna@pudjiadiprestige.co.id; info@pudjiadiprestige.co.id|PT Istana Kuta Ratu Prestige
PT Putra Rajawali Kencana Tbk.|315318634615000|Dr. Ir. Agus Mulyanto||Kep Suriyanto|Dewi Andriyani|||Ariel Wibisono|Yonathan Himawan Hendarto||||||||||||||Theodore Tonny Hendarto|Dr. Ir. Agus Mulyanto||||||||||||||Ratna Hidayati SE||2020-01-29|Jl. Rungkut Industri I Blok F No. 10, Kendangsari, Tenggilis Mejoyo – Surabaya 60292|(031) 99013573|(031) 99850898|http://puratrans.com/|info@puratrans.com|Masyarakat Non Warkat
PT Trinitan Metals and Minerals Tbk|211079520431000|Sungkana||Alfian Candra Dinata|Endah Kusuma Puspita|||Widodo Sucipto|Erkwan Kangdra|Hendrawan Lionardy|||||||||||||Andri|Hideki Iida||||||||||||||Desfrina Novita Sinaga||2019-10-09|Jl. Parung Tanjung No. 89 Cicadas Gunung Putri – Bogor 16964|+62 21 867 8999|+62 21 867 0562|www.trinitanmetals.co.id|corporate@trinitanmetals.com|Masyarakat Non Warkat
PT Puri Global Sukses Tbk|752558841225000|Roslini Onwardi||Mazlan A. Talib|Dessy Friani|||Eko Saputro Wijaya|Helli Saputra||||||||||||||Wagiman|David Tantri|Roslini Onwardi|||||||||||||Jessica||2020-09-08|Ruko De Monde Junction, Blok A No. 18-19, Pasir Putih, Kelurahan Sadai, Kecamatan Bengkong, Pulau Batam 29432, Kepulauan Riau, Indonesia|62 778 7890079|0|www.puriglobalsukses.id|corsec@puriglobalsukses.com|PT Bumi Kreasi Baru
Pakuwon Jati Tbk|012325049054000|DR. Dyah Pradnyaparamita Duarsa, MM., MSi.||Pradhono SE.Ak., CPA., CA., MSi.|Ridwan Halim SE., MCL.|||A. Stefanus Ridwan Suhendra|Drs. Minarto|Eiffel Tedja|Wong Boon Siew Ivy|Sutandi Purnomosidi|Dra. Lauw, Syane Wahyuni Loekito||||||||||Alexander Tedja|Ir. Richard Adisastra|Dr. Dyah Pradnyaparamita D., MM., MSi|||||||||||||Drs. Minarto||1989-10-09|Pakuwon City Mall Lantai 5 Jl. Kejawan Putih Mutiara No.17 Surabaya 60211|(031) 99218800|-|www.pakuwonjati.com|corpsec@pakuwon.com|PT PAKUWON ARTHANIAGA
PT Pyridam Farma Tbk|013138631054000|DR. Charles D. Marpaung||Ridwan Aksama|Dominique Razafindrambinina|||Lee Yan Gwan|dr. (Paulus) Widjanarko Brotosaputro|Yenfrino Gunadi|Bedjo Stefanus||||||||||||Robby Yulianto|Muhammad Syamsul Arifin|Maura Linda Sitanggang|Charles D. Marpaung||||||||||||Herdiasti Anggitya Dwisani||2001-10-16|Sinar Mas Land Plaza Sudirman, Lantai 12 Jl. Jendral Sudirman Kav. 21, RT10/RW1, Kuningan, Karet, Kec. Setiabudi, Jakarta Selatan 12920|(+6221) 50991067|-|www.pyfa.co.id|corsec@pyfa.co.id|REJUVE GLOBAL INVESTMENT PTE LTD
PT Sarimelati Kencana Tbk.|013239645092000|Brata Taruna Hardjosubroto||R. Eulis Sartika|Djohan Wahyudhi|||Hadian Iswara|Jeo Sasanto|Budi Setiawan|Boy Ardhitya Lukito ST||||||||||||Brata Taruna Hardjosubroto|Emireza Mohammad Arifin||||||||||||||Andromeda Hermawan Tristanto||2018-05-23|Jl. Jenderal Gatot Subroto Kav. 1.000 Kecamatan Tebet Jakarta Selatan 12870|021-50966789|-|http://www.sarimelatikencana.co.id|corsec@sarimelatikencana.co.id|PT Sriboga Raturaya
PT Tripar Multivision Plus Tbk.|013596564073000|Diaz FM Hendropriyono||Aria Eddy Kertocahyono|Pandapotan Gabriel, CA, CPA|||Whora Anita Raghunath|Amrit Ram Punjabi|Amit Ramesh Jethani|Vikas Chand Sharma||||||||||||Ram Jethmal Punjabi|Raakhee Ram Punjabi|Diaz FM Hendropriyono|||||||||||||Vikas Chand Sharma||2023-05-08|Multivision Tower, Lt. 21 - 23 Jl. Kuningan Mulia Lot 9B, Kuningan Jakarta Selatan 12980, Indonesia|(+62 21) 2938 0700|(+62 21) 2938 0029|https://www.mvpworld.com|corporatesecretary@mvpworld.com|Ram Jethmal Punjabi
PT Sari Kreasi Boga Tbk|833280159016000|R. Iskandar HIdayat||Sri Agustina|Muhammad Ainun Najib|||EKO PUJIANTO|RIZKI RAHMAT R|ADITYA PERMONO|||||||||||||EKO MUJIANTO|R. ISKANDAR HIDAYAT||||||||||||||Nurul Wahyuningsih||2022-08-05|AD Premier Lt.5 Suite 6, Jalan TB Simatupang No. 5, RT.005, RW.007, Kel. Ragunan, Kec. Pasar Minggu, Jakarta Selatan 12550|(021) 3878 2104|(021) 7463 7390|www.skbfood.id|corporatesecretary@skbfood.id|Masyarakat Non Warkat
Rukun Raharja Tbk|015819766054000|Orias Petrus Moedak||D Andhi Nirwanto|Budi Taufik Wibawa|Aryo Wibisnono||Djauhar Maulidi|Ogi Rulino||||||||||||||Rudiantara|M Arsjad Rasjid P M|Rachmad Gobel|D Andhi Nirwanto||||||||||||Yuni Pattinasarani||2006-04-19|Office Park Thamrin Residences Blok A. No. 01-05 Jl. Thamrin Boulevard, Kebon. Melati, Tanah Abang Jakarta 10230 Indonesia|021 2929 1053|021 2357 9803|www.raja.co.id|corsec@raja.co.id|SENTOSA BERSAMA MITRA
Ramayana Lestari Sentosa Tbk|013654819092000|Selamat||Ruddy Hermawan Wongso|Feronita CY|||Agus Makmur|Gantang Nitipranatio|Muhamad Yani|Halomoan Hutabarat|Andreas Lesmana|||||||||||Paulus Tumewu|Mohammad Iqbal|Kismanto|Selamat||||||||||||Setyadi Surya||1996-07-24|Jl. KH. Wahid Hasyim No. 220 A-B Jakarta 10250|3914566|-|http://www.ramayana.co.id|setyadi.surya@ramayana.co.id|RAMAYANA MAKMURSENTOSA, PT
Supra Boga Lestari Tbk|018214205054000|Hedy Maria Helena Lapian||Justinus Aditya Sidharta|Stephanus Junianto|||Johartono Susilo|Suharno Kusumodjojo|Maria Suwarni|Hady Purnama|Elsa Dian Trifani|||||||||||Honky Harjo|Ronny Prasetya|Hedy Lapian|||||||||||||Hady Purnama||2012-06-07|Ranch Market Headquarter Lt. 5, Jl. Pesanggrahan Raya No. 2, Kembangan - Jakarta Barat 11610|(62-21) 5835 1999|(62-21) 5835 0999|Website: www. ranchmarket.co.id|corp_sec@ranchmarket.co.id|PT Global Digital Niaga, Tbk
PT Raharja Energi Cepu Tbk|026042622072000|Taufik Ahmad||Yono Andi Atmoko|Dicky Maiza Alfara|||Sumantri|Alexandra Sinta Wahjudewanti|Adrian Hartadi|||||||||||||Orias Petrus Moedak|Taufik Ahmad|Merly|||||||||||||Farah Thifal||2025-01-08|Office Park Thamrin Residences A01-05 Jl. Thamrin Boulevard, Kebon Melati, Kec. Tanah Abang Jakarta Pusat, DKI Jakarta|(62-21) 23579812|(62-21) 23579812|www.rec.co.id|corsec@rec.co.id|PT Rukun Raharja Tbk
Ristia Bintang Mahkotasejati Tbk|013750781054000|Selamat||Rifly Weddyansyach|Caesarika DSP|||Deddy Indrasetiawan|Nur Anisa Nusuqi||||||||||||||Hamonangan Sianipar|Michella Ristiadewi||||||||||||||Deddy Indrasetiawan||1997-12-19|Gedung Ribens Autocars Jl. Fatmawati No. 188 Jakarta 12420|7511441, 7505000|7511025|www.ristiagroup.com|corsec@ristiagroup.com|Richard Wiriahardja
PT Utama Radar Cahaya Tbk|315098871007000|Yosi Priskila Tansil||Anik Lestari|Jessica Ratna Dewi|||Alvin Tjokrohadi|Samuel Kharis Purdiyanta||||||||||||||Adhitya Chandra Wijaya|Henry Setya Wibowo|Yosi Priskila Tansil|||||||||||||Felice Livia Wijaya||2022-08-02|Gedung STC Senayan Lantai 3, Ruang 181, Jl. Asia Afrika Pintu IX, Gelora, Tanah Abang, Jakarta Pusat 10270|(021) 57930507|(021) 57930077|www.utamaradarcahaya.com|corpsecretary@utamaradarcahaya.com|PT Gelora Rimba Jaya
Roda Vivatex Tbk|011054483054000|||||||WIRIADY WIDJAJA|KARTA WIDJAJA||||||||||||||HERRIJANTO WIDJAJA|LILIK ERIKA|IRENE KUSUMO|||||||||||||Wiriady Widjaja||1990-05-14|Menara Standard Chartered Lt. 32 Jl. Prof. Dr. Satrio No. 164 Jakarta Selatan|(021) 25532222 (Hunting)|(021) 25532255, 25532266|http://www.rodavivatex.co.id|geno@rodavivatex.co.id|SUTIADI WIDJAJA
PT Repower Asia Indonesia Tbk.|0706768231412000|Ikhwan Abidin||Martoyo|Saladin Talib|||Aulia Firdaus|Sjafardamsah|Yahya Attamimi|Irjen Pol. (Purn) Drs. Mulyatno, SH., MM||||||||||||Ichsan Thalib|Ikhwan Abidin|Komjen Pol. (Purn) Drs. Arif Wachjunadi|||||||||||||Sjafardamsah||2019-12-06|Gedung Graha Repower Asia Jl. Warung Buncit Raya No. 65 Jakarta Selatan 12740|(021) 2503 3198|(021) 2503 3399|http://repowerasiaindonesia.co.id|corporate.secretary@repowerasiaindonesia.com|PT Enam Berlian Sinergi
PT Graha Mitra Asia Tbk.|848258869016000|Yuki Ariawan||Lukman Prasetyo|Raihan Syaula Fizyan|||IVAN DARMANTO|HARIYANTO|LUKMAN SEPTIAWAN|||||||||||||ACHMAD MACHLUS SADAT|GHOFAR ROZAQ NAZILA|YUKI ARIAWAN|||||||||||||Hariyanto||2023-06-22|Sovereign Plaza Lt.5A Kav.36 Jl TB Simatupang Kota Jakarta Selatan - Daerah Khusus Ibukota Jakarta 12430|021-29400139|021-29400139|www.relifeasia.com|corsec@relifeasia.com|Masyarakat Non Warkat
Reliance Sekuritas Indonesia Tbk|013493473054000|Indra Safitri||Torang Sitanggang|Aditya Kurniawan||||REZA PRIYAMBADA.|ANDREW NOVI GUNAWAN|||||||||||||Anton Budidjaja|Indra Safitri||||||||||||||Nurwati Tunggal||2005-07-13|Soho Westpoint Kota Kedoya Jalan Macan Kav. 4-5 Kedoya Utara Kebon Jeruk Jakarta Barat|021-29520558|021-29119951|www.reliancesekuritas.com|corsec@reliancesekuritas.com|PT Reliance Capital Management
PT Kian Santang Muliatama Tbk.|867319634447000|Richard Leonardus A.||Ratih Kumala|Sugito|||Edy Nurhamid Amin|Sutarno|Fadjar Tri Ananda|||||||||||||Irvan Surya Dewantara|Richard Leonardus A.||||||||||||||Aditya Rizky Putra||2023-11-08|Jl. Wibawa Mukti II Perum Telkom Satwika Permai Blok A5 No. 8, RT 009/RW 009 Kel. Jatiluhur, Kec. Jatiasih Bekasi 17425|021-82748249||www.kianmulia.com|corsec@kianmulia.com|Masyarakat Non Warkat
Ricky Putra Globalindo Tbk|013196969054000|Drs. Subandi Sihman||Raymond Ellion|Surya Junawan|||PAULUS GUNAWAN|TIRTAHERU CITRA|CHARLIE NAWAWI|IWAN||||||||||||DELLA PUTRI GUNAWAN|VICTOR RICHARD FRANZISCUS|SUBANDI SIHMAN|||||||||||||Agnes Hermien Indrayati||1998-01-22|Jl. Sawah Lio II No. 29-37 Jakarta|(021) 634-37-35 (Direct) 634-23-30, 632-77-70 (24 Lines)|(021) 633-8642; 6332246|0|rpg@cbn.net.id|Masyarakat Non Warkat
Rig Tenders Tbk|0010021715054000|MIKROWA KIRANA||JIMMY TJAHJANTO|FEBRIANSYAH MARZUKI|||KARTIKA HADI|STEFANO KATIANDA|IRIAWAN HARTANA|HENRIE CHRISTIAN WIJAYA LAUW||||||||||||HADI SUNARTO|RATNA SARI SUHARTONO|MIKROWA KIRANA|||||||||||||Diah Triani Puspitasari||1990-03-05|GENERALI TOWER, GRAN RUBINA BUSINESS PARK, 18th floor, Unit D. Kawasan Rasuna Epicentrum, Jl. HR Rasuna Said, Jakarta Selatan 12940|021-2527628; 021-2527402|-|www.rigtenders.co.id|rtacc@rigtenders.co.id|PT Surya Indah Muara Pantai
PT Rimo International Lestari Tbk.|013229711054000|Tunggul Guntur Pasaribu||Aditya Barmen Saragih, SE., Ak., M.Ak., CA., CPA.|Riyadi, SE., MM., CPA., CMA.|||Teddy Tjokrosapoetro|Henry Poerwantoro|Herman Susanto|Siswanto||||||||||||FRANKY TJOKROSAPUTRO|IWANDONO|TUNGGUL GUNTUR PASARIBU|||||||||||||Ade Tutut Tunggal.R||2000-11-10|Ambassade Residence Lt. 1 Jl. Denpasar Raya Kav. 5 - 7 Jakarta Selatan 12950|021-2522702|021-57852639|www.rimointernational.com|corsec@rimointernational.co|Masyarakat
PT Jaya Sukses Makmur Sentosa Tbk.|022108781641000|Drs. Mohammad Raylan||Budi Agusti|Paulus|||Belinda Natalia|Go Herliani Prayogo||||||||||||||Hermanto Tanoko|Mohammad Raylan|Sanderawati Joesoef|||||||||||||Go Herliani Prayogo||2018-07-09|Jl. Ruko Sentral Square C3, Jl. Ahmad Yani 41-43, Desa Gedangan, Kecamatan Gedangan, Kabupaten Sidoarjo|031 8544400|031 8545792|http://www.tanrise.com|corsec@tanrise.com|PT Tancorp Global Sentosa
PT RMK Energy Tbk|211036579086000|F Saud Tamba Tua||Agustinus Estanto|Rama Ari Shandhi|||Vincent Saputra|William Saputra|Sugiyanto|Jennifer Angeline Djamin||||||||||||Tony Saputra|F Saud Tamba Tua|Rokhmad Sunanto|||||||||||||Muhtar||2021-12-07|Wisma RMK Lantai 2 Jalan Puri Kencana Blok M4/1 RT/RW 002/007 Kembangan Selatan, Jakarta Barat DKI Jakarta 11610|(021) 582 2555|(021) 582 2555|www.rmkenergy.com|rmk@ptrmk.com|PT RMK Investama
PT Royaltama Mulia Kontraktorindo Tbk.|837231620086000|Rokhmad Sunanto||Mulia Kusuma Tantra|Calvin Dickson|||Vincent Saputra|William Saputra|Nathania Pricilla Saputra|||||||||||||Tony Saputra|Rokhmad Sunanto||||||||||||||Nathania Pricilla Saputra||2023-07-31|Wisma RMK Jl. Puri Kencana Blok M4 No. 1 Kembangan Selatan Jakarta Barat 11610|+62 21 5822 555|+62 21 5827 555|www.rmko.co.id|corsec@rmko.co.id|PT RMK Investama
PT Rockfields Properti Indonesia Tbk.|0033444688063000|Robert Joppy Kardinal||Evangelista Ervandy|Winny Wijayanti|||Po Wiwiek Purnomo|Dewi Susanti||||||||||||||Faisal Rachman|Robert Joppy Kardinal||||||||||||||Nabilla Ayu Suraya||2020-09-10|Gedung Noble House Lantai 35, Jl. Dr. Ide Anak Agung Gde Agung Kav E.4.2 No. 2, Mega Kuningan, Jakarta Selatan 12950|+62 21 2978 3000|+62 21 2978 3001|www.rockfields.co.id|corsec@rockfields.co.id|Po Sun Kok
Pikko Land Development Tbk|016216103054000|Daud Gozali||Vania|Paulina Aryanti|||Eko Wiratmoko|Sicilia Alexander Setiawan|Joewono Witjitro Wongsodihardjo|||||||||||||Kwan Sioe Moei|Daud Gozali||||||||||||||Silvana||2001-10-22|Sahid Sudirman Residence 3rd floor Jl. Jend. Sudirman No. 86 Jakarta 10220|021-52970288|021-29022888|-|kwan_silvana@yahoo.com|Nio Yantony
PT Aesler Grup Internasional Tbk|830139705067000|Brian Praneda, SH||Solihin Makmur Alam|Albert Christo CPA|||TENY SITI FEBRYANI|FENNY||||||||||||||HANDOJO KOENTORO SETYADI|BRIAN PRANEDA,SH||||||||||||||Angelika||2020-04-09|Noble House 36th Floor 3E Jl. Dr. Ide Anak Agung Gde Agung Kav. E 4.2 No.2 Mega Kuningan, Kel. Kuningan Timur, Kec. Setiabudi, JakSel, Indonesia 12950|+62 21 29183111|0|www.aeslergroup.com|alwi.wirianata@pollux.co.id|HONOUR ACCORD LIMITED
PT Nippon Indosari Corpindo Tbk|0010709962054000|Sik Wei Tjien||Samsul Erni|Ndat Natanael Brahmana|||Wendy Sui Cheng Yap|Arlina Sofia|Indrayana|Arief Alfanto||||||||||||Benny Setiawan Santoso|David Desfreed Kennedy|Sik Wei Tjien|||||||||||||Sri Mulyana||2010-06-28|Kawasan Industri MM2100, Jl. Selayar, A9, Mekarwangi, Cikarang Barat, Kab. Bekasi, Jawa Barat, 17530|021- 89983876, 89844953|021- 89844955|www.sariroti.com|corporate.secretary@sariroti.com|PT. INDORITEL MAKMUR INTERNASIONAL TBK
PT Charlie Hospital Semarang Tbk.|904795416513000|Roy Octavian||Denny Jong Widjaja|Christian|||Junianto|Sri Mulyaningsih||||||||||||||Wahyu Fitrianingsih|Roy Octavian||||||||||||||Nur Azizah||2023-08-28|Jl. Raya Ngabean Kav 1A, Kel. Ngabean, Kec. Boja Kab. Kendal, Jawa Tengah 51381|(024) 86005000||https://charliehospital.co.id/|corsec@charliehospital.co.id|PT Wahyu Agung
PT Kedoya Adyaraya Tbk|015394174038000|Murniadi Chandra||Patricia M. Sugondo|Aribowo|||dr. Juniwati Gunawan|Hendra Munanto|Armen Antonius Djan|drg. Nailufar, MARS||||||||||||Jusup Halimi|Hungkang Sutedja|dr. Yanto Sandy Tjang|Murniadi Chandra||||||||||||Agus Rosyadi||2021-09-08|RS Grha Kedoya, Jalan Panjang Arteri No. 26, Kedoya Utara, Kebon Jeruk, Jakarta Barat 11520|150-789|-|www.grhakedoya.com|corsec.kedoya@emc.id|PT Sarana Meditama Metropolitan Tbk
Radiant Utama Interinsco Tbk|013718143081000|||||||ABY ABDULLAH GANIS|BIBIN BUSONO|SOEHARTO NURCAHYONO|||||||||||||AMIRA GANIS|WINARNO ZAIN|MUHAMMAD HAMID|||||||||||||Mona Nazaruddin||2006-07-12|Kapten Tendean No. 24 Jakarta 12720|7191020|7191002|www.radiant.co.id|corsec@radiant.co.id; mona.nazaruddin@radiant.co.id|Masyarakat Non Warkat
PT Global Sukses Solusi Tbk|709354161542000|Indrawan Nugroho||Arief Rahman|Emha Taufiq Luthfi|||Sony Rachmadi Purnomo|Suhartono|Dwie Kristianto|||||||||||||Wahyu Hidayat|Indrawan Nugroho||||||||||||||Ageng Permana||2021-09-08|Jl. Wahid Hasyim No. 6, Condongcatur, Kec. Depok, Kab. Sleman, Daerah Istimewa Yogyakarta, 55283, Indonesia|(0274) 5306454||www.runsystem.id|corporate.secretary@runsystem.id|Sony Rachmadi Purnomo
Steady Safe Tbk|010009272054000|Rd James Rachmat Subekti||Tauperta Siregar M.AK, CA, CPA|Ayu Rahmaliah S.Ak|||John Pieter Sembiring|Ahmad Fahmi||||||||||||||Jopie Widjaja|Rd James Rachmat Subekti||||||||||||||Efris Indria Y.A||1994-08-15|Pool Klender Jl. Bekasi Timur Raya No. 14 RT 001, RW 08 Jatinegara Kaum, Pulogadung, Jakarta Timur|(021) 22471801, 3922222, 75931377|-|www.steadysafetbk.co.id|steady_safetbk@yahoo.com|PT Infiniti Wahana
PT Saptausaha Gemilangindah Tbk|015779291023000|Handry Soesanto||Minaldi Muffid Kamil|Opri Simbolon|||Edward Halim|Cindy Veronica Jong||||||||||||||Erwin Tan|Handry Soesanto||||||||||||||Cindy Veronica Jong||2023-03-08|Jl. Kramat Raya No. 32-34 Kel. Kramat Kec. Senen, Jakarta Pusat, DKI Jakarta 10450 Telp.: +6221 391 6338|+6221 391 6338|+6221 319 5557|www.saptagroup.com|corsec@saptagroup.com|PT Benteng Terang Sejahtera
Sarana Meditama Metropolitan Tbk|0013915236054000|||||||Jusup Halimi|Meta Dewi Thedja|drg. Nailufar, MARS|Kusmiati|Armen Antonius Djan|||||||||||Robert Pakpahan|Unggung Cahyono|Heru Kristiyana|Alexander Tedja||||||||||||Rahmiyati Yahya||2013-01-11|Jl. Pulomas Barat VI No. 20 Kayu Putih, Pulo Gadung, Jakarta Timur 13210|150 789|-|www.emc.id|corsec@emc.id|PT ELANG MAHKOTA TEKNOLOGI TBK
PT Saraswanti Anugerah Makmur Tbk.|0018293332641000|Poernomo||Wahyu Purwandaka|Ade Irma Hidayah|||Ir. Yahya Taufik|Theresia Yusufiani Rahayu|Andreas Adhi Harsanto|FX Mulyo Hartono|Andi Irwandy|Mohamad Mulyadi||||||||||Noegroho Hari Hardono|IRJEN POL (Purn) Dr. Tabana Bangun, S.H., M.Si.|Poernomo|||||||||||||Theresia Yusufiani Rahayu||2020-03-31|Surya Inti Permata Juanda Super Blok A-52, Jl. Raya Juanda, Wedi, Gedangan, Sidoarjo, Jawa Timur|(031) 82516888|(031) 82516555|www.saraswantifertilizer.com|corsec@saraswanti.com|PT Saraswanti Utama
PT Satria Antaran Prima Tbk.|0708378294061000|Gilarsi Wahju Setijono||R Nugroho Binarto|Lies Retno Dumilah|||Budiyanto Darmastono|Anggara Mastangi||||||||||||||Nency Christanti|Gilarsi Wahju Setijono||||||||||||||Denny Parhan||2018-10-03|Revenue Tower, Lantai 27 No.123 Jl. Jendral Sudirman No.52-53 RT5/RW3 Senayan, Jakarta Selatan 12190|(021) 22806611|-|www.sapx.id|corp.secretary@sap-express.com|PT Satria Investama Perdana
PT Kota Satu Properti Tbk.|0316062058505001|IBNU DODY PRAYITNO||YANITA KURNIADI|ALEXANDER EKO NUGROHO|||Momog Irnawan|Leo Agung Vito Wicaksana||||||||||||||Arief Sugiyo|Ibnu Dody Prayitno||||||||||||||Satriyo Adi Anindito||2018-11-05|Jl MT Haryono, Club House Amaya Home Resort Ungaran - Kabupaten Semarang 50511|+62 24 7690 1735; +62 24 7690 1000|+62 24 7690 1749|www.kotasatuproperti.com|corsec@kotasatuproperti.com|PT Kota Satu Indonesia
PT Sejahtera Bintang Abadi Textile Tbk.|021763479441000|Mamay Jamaludin||Kusmiyati Epni Suprihatiningsih|Muhammad Diemas Fauzie|||MARTHA INTAN YAPUTRA|JEFRI ZAL||||||||||||||MAMAY JAMALUDIN|IVAN ZUCHLY||||||||||||||REZA MARZUKI||2020-04-08|Jl. Raya Cicalengka – Majalaya KM. 5 Desa Sri Rahayu, Kecamatan Cikancung Bandung – Jawa Barat 40396, Indonesia|(022) 7947 100/ 400|(022) 7947 200|www.sbatextile.com|corsec@sbatextile.com|Masyarakat
PT Surya Biru Murni Acetylene Tbk|011505450725000|M. Slamet Brotosiswoyo||Maurice Ganda Nainggolan|Daisy Erna Simanjuntak|||Rini Dwiyanti|Julianto Setyoadji|Carsen Finrely|||||||||||||Effendi|M. Slamet Brotosiswoyo|Dinawati|||||||||||||Francisca Puspalinda||2021-09-08|Jl. Jend. Sudirman No. 5-6, RT 016 Kelurahan Klandasan Ilir, Kecamatan Balikpapan Kota Balikpapan, Kalimantan Timur 76113|+62542 733600||www.suryabirumurni.co.id|corsec@suryabiru.com|PT Surya Biru Titilea Investama
PT Supreme Cable Manufacturing & Commerce Tbk|010008894054000|Prof. Dr. Irawan Soerodjo, S.H.,M.Si||Neny Mustika Suseno|Adiwinata, SE, CPAI, Ak|||Henny Rosellinny|Teddy Rustiadi|Nicodemus Marjopranoto Trisnadi|Sani Iskandar Darmawan||||||||||||Elly Soepono|Prof. Dr. Ir. Dewa Nyoman Adnyana|Prof. Dr. Irawan Soerodjo, S.H., M.Si.|Surya Adiwijaya Soepono||||||||||||Risti Saka||1982-07-20|Jl. Kebon Sirih No. 71 Jakarta 10340|(021) 3100525|(021) 31931119|0|sccfin@cbn.net.id; corpsec@sucaco.com|PT Moda Sukma
